symbol,min_score,max_move_pct,notes
SUI,0.75,3,
SUPN,0.75,3,
SVCO,0.75,3,
SVM,0.75,3,
SWKS,0.75,3,
SWMR,0.75,3,
SXI,0.75,3,
SXT,0.75,3,
SXTP,0.75,3,
SYK,0.75,3,
SYNA,0.75,3,
TARS,0.75,3,
TAYD,0.75,3,
TBBB,0.75,3,
TC,0.75,3,
TCMD,0.75,3,
TCRT,0.75,3,
TDC,0.75,3,
TDUP,0.75,3,
TDW,0.75,3,
TE,0.75,3,
TEAM,0.75,3,
TECH,0.75,3,
TECK,0.75,3,
TEL,0.75,3,
TEM,0.75,3,
TENB,0.75,3,
TER,0.75,3,
TFII,0.75,3,
TFPM,0.75,3,
TG,0.75,3,
TGB,0.75,3,
TGEN,0.75,3,
TGLS,0.75,3,
